['X'],['Y'],['Percent'],['Total Shots'],['Goals'],Adjustment,Frequency after Adjustment,Rating
100,40,0,0,0,0,0,0.05
100,39,0,0,0,0,0,0.05
100,38,0,0,0,0,0,0.05
100,37,0,0,0,0,0,0.05
100,36,0,0,0,0,0,0.05
100,35,0,0,0,0,0,0.05
100,34,0,0,0,0,0,0.05
100,33,0,0,0,0,0,0.05
100,32,0,0,0,0,0,0.05
100,31,0,0,0,0,0,0.05
100,30,0,0,0,0,0,0.05
100,29,0,0,0,0,0,0.05
100,28,0,0,0,0,0,0.05
100,27,0,0,0,0,0,0.05
100,26,0,0,0,0,0,0.05
100,25,0,0,0,0,0,0.05
100,24,0,0,0,0,0,0.05
100,23,0,0,0,0,0,0.05
100,22,0,0,0,0,0,0.05
100,21,0,0,0,0,0,0.05
100,20,0,0,0,0,0,0.05
100,19,0,0,0,0,0,0.05
100,18,0,0,0,0,0,0.05
100,17,0,0,0,0,0,0.05
100,16,0,0,0,0,0,0.05
100,15,0,0,0,0,0,0.05
100,14,0,0,0,0,0,0.05
100,13,0,0,0,0,0,0.05
100,12,0,0,0,0,0,0.05
100,11,0,0,0,0,0,0.05
100,10,0,0,0,0,0,0.05
100,9,0,0,0,0,0,0.05
100,8,0,0,0,0,0,0.05
100,7,0,0,0,0,0,0.05
100,6,0,0,0,0,0,0.05
100,5,0,0,0,0,0,0.05
100,4,0,0,0,0,0,0.05
100,3,0,0,0,0,0,0.05
100,2,0,0,0,0,0,0.05
100,1,0,0,0,0,0,0.05
100,0,0,0,0,0,0,0.05
100,-1,0,0,0,0,0,0.05
100,-2,0,0,0,0,0,0.05
100,-3,0,0,0,0,0,0.05
100,-4,0,0,0,0,0,0.05
100,-5,0,0,0,0,0,0.05
100,-6,0,0,0,0,0,0.05
100,-7,0,0,0,0,0,0.05
100,-8,0,0,0,0,0,0.05
100,-9,0,0,0,0,0,0.05
100,-10,0,0,0,0,0,0.05
100,-11,0,0,0,0,0,0.05
100,-12,0,0,0,0,0,0.05
100,-13,0,0,0,0,0,0.05
100,-14,0,0,0,0,0,0.05
100,-15,0,0,0,0,0,0.05
100,-16,0,0,0,0,0,0.05
100,-17,0,0,0,0,0,0.05
100,-18,0,0,0,0,0,0.05
100,-19,0,0,0,0,0,0.05
100,-20,0,0,0,0,0,0.05
100,-21,0,0,0,0,0,0.05
100,-22,0,0,0,0,0,0.05
100,-23,0,0,0,0,0,0.05
100,-24,0,0,0,0,0,0.05
100,-25,0,0,0,0,0,0.05
100,-26,0,0,0,0,0,0.05
100,-27,0,0,0,0,0,0.05
100,-28,0,0,0,0,0,0.05
100,-29,0,0,0,0,0,0.05
100,-30,0,0,0,0,0,0.05
100,-31,0,0,0,0,0,0.05
100,-32,0,0,0,0,0,0.05
100,-33,0,0,0,0,0,0.05
100,-34,0,0,0,0,0,0.05
100,-35,0,0,0,0,0,0.05
100,-36,0,0,0,0,0,0.05
100,-37,0,0,0,0,0,0.05
100,-38,0,0,0,0,0,0.05
100,-39,0,0,0,0,0,0.05
100,-40,0,0,0,0,0,0.05
100,42,0,0,0,0,0,0.05
100,41,0,0,0,0,0,0.05
100,40,0,0,0,0,0,0.05
100,-40,0,0,0,0,0,0.05
100,-41,0,0,0,0,0,0.05
100,-42,0,0,0,0,0,0.05
99,40,0,0,0,0,0,0.05
99,39,0,0,0,0,0,0.05
99,38,0,0,0,0,0,0.05
99,37,0,0,0,0,0,0.05
99,36,0,0,0,0,0,0.05
99,35,0,0,0,0,0,0.05
99,34,0,0,0,0,0,0.05
99,33,0,0,0,0,0,0.05
99,32,0,0,0,0,0,0.05
99,31,0,0,0,0,0,0.05
99,30,0,0,0,0,0,0.05
99,29,0,0,0,0,0,0.05
99,28,0,0,0,0,0,0.05
99,27,0,0,0,0,0,0.05
99,26,0,0,0,0,0,0.05
99,25,0,0,0,0,0,0.05
99,24,0,0,0,0,0,0.05
99,23,0,0,0,0,0,0.05
99,22,0,0,0,0,0,0.05
99,21,0,0,0,0,0,0.05
99,20,0,0,0,0,0,0.05
99,19,0,0,0,0,0,0.05
99,18,0,0,0,0,0,0.05
99,17,0,0,0,0,0,0.05
99,16,0,1,0,0.017,0,0.05
99,15,0,0,0,0,0,0.05
99,14,0,0,0,0,0,0.05
99,13,0,0,0,0,0,0.05
99,12,0,0,0,0,0,0.05
99,11,0,0,0,0,0,0.05
99,10,0,0,0,0,0,0.05
99,9,0,0,0,0,0,0.05
99,8,0,0,0,0,0,0.05
99,7,0,0,0,0,0,0.05
99,6,0,0,0,0,0,0.05
99,5,0,0,0,0,0,0.05
99,4,0,0,0,0,0,0.05
99,3,0,0,0,0,0,0.05
99,2,0,0,0,0,0,0.05
99,1,0,0,0,0,0,0.05
99,0,0,0,0,0,0,0.05
99,-1,0,0,0,0,0,0.05
99,-2,0,0,0,0,0,0.05
99,-3,0,0,0,0,0,0.05
99,-4,0,1,0,0.017,0,0.05
99,-5,0,0,0,0,0,0.05
99,-6,0,0,0,0,0,0.05
99,-7,0,0,0,0,0,0.05
99,-8,0,0,0,0,0,0.05
99,-9,0,0,0,0,0,0.05
99,-10,0,1,0,0.017,0,0.05
99,-11,0,0,0,0,0,0.05
99,-12,0,1,0,0.017,0,0.05
99,-13,0,0,0,0,0,0.05
99,-14,0,0,0,0,0,0.05
99,-15,0,0,0,0,0,0.05
99,-16,0,0,0,0,0,0.05
99,-17,0,0,0,0,0,0.05
99,-18,0,0,0,0,0,0.05
99,-19,0,0,0,0,0,0.05
99,-20,0,0,0,0,0,0.05
99,-21,0,1,0,0.017,0,0.05
99,-22,0,0,0,0,0,0.05
99,-23,0,0,0,0,0,0.05
99,-24,0,0,0,0,0,0.05
99,-25,0,1,0,0.017,0,0.05
99,-26,0,0,0,0,0,0.05
99,-27,0,0,0,0,0,0.05
99,-28,0,0,0,0,0,0.05
99,-29,0,0,0,0,0,0.05
99,-30,0,0,0,0,0,0.05
99,-31,0,0,0,0,0,0.05
99,-32,0,0,0,0,0,0.05
99,-33,0,0,0,0,0,0.05
99,-34,0,0,0,0,0,0.05
99,-35,0,0,0,0,0,0.05
99,-36,0,0,0,0,0,0.05
99,-37,0,0,0,0,0,0.05
99,-38,0,0,0,0,0,0.05
99,-39,0,0,0,0,0,0.05
99,-40,0,0,0,0,0,0.05
99,42,0,1,0,0.017,0,0.05
99,41,0,0,0,0,0,0.05
99,40,0,0,0,0,0,0.05
99,-40,0,0,0,0,0,0.05
99,-41,0,0,0,0,0,0.05
99,-42,0,0,0,0,0,0.05
98,40,0,0,0,0,0,0.05
98,39,0,0,0,0,0,0.05
98,38,0,0,0,0,0,0.05
98,37,0,0,0,0,0,0.05
98,36,0,0,0,0,0,0.05
98,35,0,0,0,0,0,0.05
98,34,0,0,0,0,0,0.05
98,33,0,0,0,0,0,0.05
98,32,0,0,0,0,0,0.05
98,31,0,0,0,0,0,0.05
98,30,0,0,0,0,0,0.05
98,29,0,0,0,0,0,0.05
98,28,1,1,1,0.017,0.017,0.07
98,27,0,1,0,0.017,0,0.05
98,26,0,0,0,0,0,0.05
98,25,0,0,0,0,0,0.05
98,24,0,0,0,0,0,0.05
98,23,0,2,0,0.034,0,0.05
98,22,0,0,0,0,0,0.05
98,21,0,0,0,0,0,0.05
98,20,0,0,0,0,0,0.05
98,19,0,0,0,0,0,0.05
98,18,0,0,0,0,0,0.05
98,17,0,0,0,0,0,0.05
98,16,0,0,0,0,0,0.05
98,15,0,1,0,0.017,0,0.05
98,14,0,0,0,0,0,0.05
98,13,0,0,0,0,0,0.05
98,12,0,0,0,0,0,0.05
98,11,0,1,0,0.017,0,0.05
98,10,0,0,0,0,0,0.05
98,9,0.5,2,1,0.034,0.017,0.07
98,8,0,0,0,0,0,0.05
98,7,0,0,0,0,0,0.05
98,6,0,0,0,0,0,0.05
98,5,0,0,0,0,0,0.05
98,4,0,0,0,0,0,0.05
98,3,0,0,0,0,0,0.05
98,2,0,0,0,0,0,0.05
98,1,0,0,0,0,0,0.05
98,0,0,0,0,0,0,0.05
98,-1,0,0,0,0,0,0.05
98,-2,0,0,0,0,0,0.05
98,-3,0.5,2,1,0.034,0.017,0.07
98,-4,0,0,0,0,0,0.05
98,-5,0,0,0,0,0,0.05
98,-6,0,0,0,0,0,0.05
98,-7,0,0,0,0,0,0.05
98,-8,0,1,0,0.017,0,0.05
98,-9,0,0,0,0,0,0.05
98,-10,0,0,0,0,0,0.05
98,-11,0,1,0,0.017,0,0.05
98,-12,1,1,1,0.017,0.017,0.07
98,-13,0,0,0,0,0,0.05
98,-14,0,1,0,0.017,0,0.05
98,-15,0,1,0,0.017,0,0.05
98,-16,0,0,0,0,0,0.05
98,-17,0,0,0,0,0,0.05
98,-18,0,0,0,0,0,0.05
98,-19,0,0,0,0,0,0.05
98,-20,0,0,0,0,0,0.05
98,-21,0,0,0,0,0,0.05
98,-22,0,0,0,0,0,0.05
98,-23,0,0,0,0,0,0.05
98,-24,0,0,0,0,0,0.05
98,-25,0,0,0,0,0,0.05
98,-26,0,0,0,0,0,0.05
98,-27,0,0,0,0,0,0.05
98,-28,0,0,0,0,0,0.05
98,-29,0,0,0,0,0,0.05
98,-30,0,0,0,0,0,0.05
98,-31,0,0,0,0,0,0.05
98,-32,0,0,0,0,0,0.05
98,-33,0,0,0,0,0,0.05
98,-34,0,0,0,0,0,0.05
98,-35,0,0,0,0,0,0.05
98,-36,0,0,0,0,0,0.05
98,-37,0,0,0,0,0,0.05
98,-38,0,0,0,0,0,0.05
98,-39,0,0,0,0,0,0.05
98,-40,0,0,0,0,0,0.05
98,42,0,0,0,0,0,0.05
98,41,0,0,0,0,0,0.05
98,40,0,0,0,0,0,0.05
98,-40,0,0,0,0,0,0.05
98,-41,0,0,0,0,0,0.05
98,-42,0,0,0,0,0,0.05
97,40,0,0,0,0,0,0.05
97,39,0,0,0,0,0,0.05
97,38,0,0,0,0,0,0.05
97,37,0,0,0,0,0,0.05
97,36,0,0,0,0,0,0.05
97,35,0,0,0,0,0,0.05
97,34,0,0,0,0,0,0.05
97,33,0,0,0,0,0,0.05
97,32,0,0,0,0,0,0.05
97,31,0,0,0,0,0,0.05
97,30,0,0,0,0,0,0.05
97,29,0,1,0,0.017,0,0.05
97,28,0,1,0,0.017,0,0.05
97,27,0,0,0,0,0,0.05
97,26,0,0,0,0,0,0.05
97,25,0,0,0,0,0,0.05
97,24,0,0,0,0,0,0.05
97,23,1,1,1,0.017,0.017,0.07
97,22,0,0,0,0,0,0.05
97,21,1,1,1,0.017,0.017,0.07
97,20,0,1,0,0.017,0,0.05
97,19,0,0,0,0,0,0.05
97,18,0,1,0,0.017,0,0.05
97,17,0,1,0,0.017,0,0.05
97,16,0,0,0,0,0,0.05
97,15,0,1,0,0.017,0,0.05
97,14,0,0,0,0,0,0.05
97,13,0,0,0,0,0,0.05
97,12,0,1,0,0.017,0,0.05
97,11,0,2,0,0.034,0,0.05
97,10,1,2,2,0.034,0.034,0.14
97,9,0,1,0,0.017,0,0.05
97,8,0,0,0,0,0,0.05
97,7,1,2,2,0.034,0.034,0.14
